"p4","p5","p6_1","p6_2","p6_3","p6_4","p6_5","p6_6","p26","p32","p34_1","p34_2","p34_3","p34_4","p36_1","p36_2","p36_3","p36_4","factor","year"
NA,NA,NA,NA,NA,NA,NA,NA,10,NA,2,1,2,1,2,1,1,2,16651,2019
3,4,2,2,2,2,1,2,120,NA,2,1,1,1,1,1,1,1,18310,2019
NA,NA,NA,NA,NA,NA,NA,NA,20,NA,2,2,2,1,2,1,1,2,15468,2019
NA,NA,NA,NA,NA,NA,NA,NA,40,NA,2,2,2,1,2,1,2,2,15468,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,2,2,2,2,1,1,2,16943,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18327,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,1,2,1,1,1,8153,2019
1,1,2,1,2,2,2,2,60,NA,2,2,1,1,2,1,2,2,20241,2019
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,2,2,2,2,2,1,1,2,13746,2019
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,2,1,2,1,1,1,1,2,24567,2019
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,1,1,1,1,1,1,1,1,14844,2019
4,1,2,1,2,2,2,2,60,NA,2,1,1,1,1,1,1,1,40715,2019
NA,NA,NA,NA,NA,NA,NA,NA,20,NA,2,1,1,1,2,1,2,2,13648,2019
2,3,2,2,1,2,1,2,60,NA,2,1,1,2,2,1,1,1,18882,2019
5,4,1,2,2,1,2,2,30,NA,2,1,1,1,2,1,1,2,18457,2019
3,4,2,2,2,2,1,2,60,NA,2,1,1,1,1,1,1,1,29660,2019
10,4,2,1,1,1,1,2,120,NA,2,2,2,1,1,1,1,1,12544,2019
3,4,1,2,2,2,2,2,60,NA,2,1,1,1,1,1,1,1,13239,2019
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,2,1,2,2,2,1,1,1,13809,2019
NA,NA,NA,NA,NA,NA,NA,NA,20,NA,1,1,1,1,1,1,1,2,6272,2019
5,5,2,2,1,2,2,2,20,NA,2,2,2,2,2,1,1,2,7292,2019
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,1,2,1,1,2,1,1,1,18791,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,1,1,2,35788,2019
NA,NA,NA,NA,NA,NA,NA,NA,15,NA,2,2,2,2,2,1,2,2,34594,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,2,2,1,1,1,1,1,13168,2019
1,5,2,2,1,2,2,2,30,NA,2,2,2,2,2,2,2,2,7347,2019
8,4,2,2,2,2,1,2,30,NA,2,2,2,2,2,2,2,2,15893,2019
NA,NA,NA,NA,NA,NA,NA,NA,60,NA,2,2,2,2,2,1,1,2,15893,2019
NA,NA,NA,NA,NA,NA,NA,NA,10,NA,1,1,1,1,1,1,1,1,26136,2019
NA,NA,NA,NA,NA,NA,NA,NA,15,NA,1,1,1,1,1,1,1,1,15874,2019
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,1,1,1,1,1,2,1,1,17424,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,2,1,2,2,13794,2019
1,5,2,2,1,2,2,2,60,NA,2,2,2,2,2,1,1,2,24725,2019
6,4,2,2,2,1,2,2,30,NA,1,2,2,2,1,1,1,1,24720,2019
3,4,2,2,2,2,1,2,60,NA,1,1,1,1,1,1,1,1,15616,2019
1,5,2,2,1,2,2,2,30,NA,2,2,2,2,2,1,2,2,7327,2019
NA,NA,NA,NA,NA,NA,NA,NA,20,NA,1,1,1,2,2,1,1,1,24229,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,2,2,2,2,15201,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,1,2,16207,2019
1,4,2,2,2,1,2,2,30,NA,1,1,1,1,1,1,1,1,16043,2019
NA,NA,NA,NA,NA,NA,NA,NA,6,NA,2,2,2,2,2,1,1,2,15201,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,2,17603,2019
6,3,2,1,2,1,1,2,30,NA,2,1,2,1,1,1,2,1,25603,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,2,1,2,1,2,2,14585,2019
NA,NA,NA,NA,NA,NA,NA,NA,15,NA,2,2,2,2,2,1,1,2,23402,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,2,6584,2019
1,4,2,2,2,1,2,2,20,NA,2,1,2,1,1,1,1,1,6463,2019
2,4,2,2,2,1,2,2,20,NA,2,1,2,1,2,2,2,2,10273,2019
NA,NA,NA,NA,NA,NA,NA,NA,10,NA,2,2,2,2,2,2,2,2,17120,2019
NA,NA,NA,NA,NA,NA,NA,NA,60,NA,2,1,1,1,1,1,1,1,17440,2019
3,1,2,1,2,2,2,2,60,NA,2,2,1,1,1,1,1,1,22315,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,1,1,1,1,1,14637,2019
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,1,1,2,1,2,1,2,1,16432,2019
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,1,1,1,1,1,1,1,1,14725,2019
1,5,2,2,1,2,2,2,5,NA,2,1,2,2,2,1,1,1,25592,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,1,2,1,2,1,12464,2019
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,1,1,1,1,2,2,1,2,14499,2019
2,3,2,2,1,2,2,2,20,NA,2,2,2,2,2,2,2,2,7324,2019
1,5,2,2,1,2,2,2,15,NA,2,2,1,2,2,1,2,1,12751,2019
NA,NA,NA,NA,NA,NA,NA,NA,5,NA,2,2,1,2,1,1,2,2,19646,2019
1,4,2,2,1,2,2,2,20,NA,2,2,2,1,2,1,1,1,19973,2019
NA,NA,NA,NA,NA,NA,NA,NA,5,NA,2,1,2,1,1,1,2,2,17824,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,1,1,1,1,1,13319,2019
NA,NA,NA,NA,NA,NA,NA,NA,60,NA,1,2,1,1,1,1,1,1,15428,2019
1,4,2,2,2,1,2,2,20,NA,2,1,1,2,2,2,2,2,7431,2019
NA,NA,NA,NA,NA,NA,NA,NA,5,NA,2,2,2,1,2,1,1,1,19978,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,1,2,1,2,2,28287,2019
1,3,2,2,2,1,2,2,60,NA,1,1,2,1,1,1,1,2,16975,2019
NA,NA,NA,NA,NA,NA,NA,NA,20,NA,1,1,1,1,1,1,1,1,18392,2019
NA,NA,NA,NA,NA,NA,NA,NA,15,NA,2,1,1,1,1,1,1,2,11158,2019
1,4,2,2,2,1,2,2,20,NA,2,1,1,1,1,1,1,1,66500,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,1,2,1,2,2,11820,2019
NA,NA,NA,NA,NA,NA,NA,NA,45,NA,2,1,2,1,1,1,1,2,6046,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,1,1,2,2,6514,2019
3,3,2,1,2,2,2,2,120,NA,1,1,1,1,1,1,1,1,7791,2019
2,1,2,1,2,2,2,2,90,NA,2,1,2,2,1,1,1,1,15702,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21751,2019
NA,NA,NA,NA,NA,NA,NA,NA,45,NA,2,2,2,2,1,1,1,1,15053,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,2,5647,2019
7,2,2,1,2,2,2,2,120,NA,1,1,2,1,1,1,1,1,15991,2019
NA,NA,NA,NA,NA,NA,NA,NA,20,NA,2,1,2,1,2,2,2,2,43860,2019
2,3,2,2,2,1,1,2,45,NA,2,2,2,2,1,1,1,2,24820,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,1,1,1,1,24779,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,2,2,2,2,2,2,2,30718,2019
NA,NA,NA,NA,NA,NA,NA,NA,60,NA,2,2,2,2,1,1,1,2,33225,2019
1,4,2,2,2,1,2,2,40,NA,2,1,2,1,2,2,2,2,16612,2019
4,3,2,1,2,1,2,2,120,NA,1,1,1,1,1,1,1,1,6955,2019
1,5,2,2,1,2,2,2,45,NA,2,1,1,1,1,1,1,1,19896,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,2,2,2,2,2,2,2,7173,2019
2,1,2,1,2,2,2,2,60,NA,2,1,2,1,1,1,1,2,13911,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,1,1,1,2,2,26225,2019
14,4,2,2,2,1,2,2,120,NA,2,2,2,2,1,1,2,2,9736,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,2,2,2,NA,NA,NA,NA,5332,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,1,2,2,2,14275,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,1,1,1,1,15744,2019
NA,NA,NA,NA,NA,NA,NA,NA,45,NA,2,2,2,2,2,2,2,2,7151,2019
2,4,2,2,2,1,2,2,60,NA,2,1,2,1,1,1,1,2,25952,2019
NA,NA,NA,NA,NA,NA,NA,NA,50,NA,2,2,2,1,1,1,1,1,31278,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,2,2,2,2,2,2,2,14124,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,1,2,2,1,6946,2019
6,4,2,2,2,1,2,2,60,NA,2,1,1,1,1,1,1,1,7647,2019
NA,NA,NA,NA,NA,NA,NA,NA,60,NA,2,2,2,2,1,1,1,NA,24923,2019
7,3,2,1,2,2,2,2,60,NA,1,1,1,1,1,1,1,1,7969,2019
NA,NA,NA,NA,NA,NA,NA,NA,60,NA,2,1,2,1,1,1,1,2,16439,2019
3,4,2,2,1,1,2,2,120,NA,1,1,1,1,1,1,1,2,16439,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,2,2,2,2,2,2,2,13175,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,1,2,2,2,1,17636,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,1,1,2,2,23249,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,1,2,2,2,6479,2019
NA,NA,NA,NA,NA,NA,NA,NA,45,NA,2,1,2,2,1,1,2,2,9637,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,2,9283,2019
NA,NA,NA,NA,NA,NA,NA,NA,120,NA,NA,1,1,1,1,1,1,1,27395,2019
1,5,2,2,2,1,2,2,30,NA,2,1,2,2,2,2,1,2,18566,2019
NA,NA,NA,NA,NA,NA,NA,NA,45,NA,2,1,1,1,1,1,1,1,8338,2019
NA,NA,NA,NA,NA,NA,NA,NA,60,NA,2,1,1,1,2,2,2,2,15477,2019
NA,NA,NA,NA,NA,NA,NA,NA,60,NA,1,1,1,1,1,1,1,1,8890,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,1,2,1,1,9117,2019
5,2,2,1,2,2,2,2,10,NA,2,1,1,1,2,2,2,2,18175,2019
NA,NA,NA,NA,NA,NA,NA,NA,10,NA,2,2,2,2,1,1,1,2,6923,2019
4,4,1,1,1,2,1,2,60,NA,2,1,1,1,2,1,1,1,15816,2019
1,5,2,2,1,2,2,2,60,NA,2,2,2,2,2,1,1,1,13744,2019
1,4,2,2,2,1,2,2,30,NA,2,2,2,1,1,1,1,1,37964,2019
1,5,2,2,1,2,2,2,15,NA,2,2,2,2,2,1,1,2,6872,2019
10,3,1,1,2,1,1,2,20,NA,1,1,1,1,1,1,1,1,18343,2019
3,3,2,2,1,1,1,2,120,NA,2,1,2,1,2,1,2,2,9223,2019
2,4,1,2,1,2,2,2,30,NA,NA,1,1,1,1,1,1,1,17705,2019
